State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35207,2,850,29434
AL,35207,3,230,13792
AL,35207,4,90,7369
AL,35207,5,40,4784
AL,35207,6,0,0
AL,35208,1,3400,46930
AL,35208,2,1690,59454
AL,35208,3,450,27260
AL,35208,4,150,12798
AL,35208,5,100,12631
AL,35208,6,0,0
AL,35209,1,4020,51801
AL,35209,2,2660,95393
AL,35209,3,1410,86075
AL,35209,4,920,80225
AL,35209,5,1830,256680
AL,35209,6,1130,720346
AL,35210,1,2320,30462
AL,35210,2,1770,64757
AL,35210,3,1040,63279
AL,35210,4,600,51945
AL,35210,5,660,86903
AL,35210,6,190,77948
AL,35211,1,6090,83079
AL,35211,2,2910,102103
AL,35211,3,930,56211
AL,35211,4,360,30945
AL,35211,5,270,34670
AL,35211,6,50,19524
AL,35212,1,2720,36649
AL,35212,2,1080,38356
AL,35212,3,420,25402
AL,35212,4,200,17137
AL,35212,5,240,30901
AL,35212,6,50,17158
AL,35213,1,1490,14859
AL,35213,2,1040,39029
AL,35213,3,790,48031
AL,35213,4,470,41281
AL,35213,5,1230,175304
AL,35213,6,1810,1204392
AL,35214,1,3730,50945
AL,35214,2,2560,91442
AL,35214,3,1100,66386
AL,35214,4,450,38415
AL,35214,5,400,49978
AL,35214,6,20,12969
AL,35215,1,10180,140820
AL,35215,2,5960,211247
AL,35215,3,2170,131254
AL,35215,4,910,78310
AL,35215,5,680,86230
AL,35215,6,40,16740
AL,35216,1,5290,66951
AL,35216,2,3940,143015
AL,35216,3,2010,122803
AL,35216,4,1160,100616
AL,35216,5,2430,338396
AL,35216,6,1320,648899
AL,35217,1,2800,37993
AL,35217,2,1380,48583
AL,35217,3,470,28470
AL,35217,4,200,16720
AL,35217,5,160,19936
AL,35217,6,20,13634
AL,35218,1,1630,22525
AL,35218,2,720,24306
AL,35218,3,170,10343
AL,35218,4,40,3326
AL,35218,5,20,3132
AL,35218,6,0,0
AL,35221,1,1010,13822
AL,35221,2,580,20293
AL,35221,3,140,8173
AL,35221,4,40,3595
